iter	Passed	Remaining
0	273	273129
1	394	196764
2	920	305807
3	1831	456085
4	2078	413539
5	2318	384117
6	2434	345402
7	4192	519859
8	6352	699446
9	6456	639160
10	6596	593129
11	6663	548668
12	6762	513392
13	6837	481590
14	6915	454137
15	7011	431177
16	7090	409981
17	7181	391788
18	7266	375194
19	7386	361957
20	7482	348844
21	7608	338214
22	7700	327099
23	7847	319125
24	7931	309347
25	8051	301629
26	8164	294238
27	8282	287533
28	8389	280919
29	8486	274411
30	8601	268872
31	8691	262906
32	8778	257240
33	8866	251902
34	8946	246668
35	9026	241707
36	9123	237458
37	9210	233166
38	9347	230326
39	9429	226305
40	9515	222573
41	9627	219603
42	9722	216382
43	9808	213107
44	9907	210261
45	10005	207506
46	10096	204713
47	10245	203204
48	10356	201005
49	10469	198913
50	10623	197678
51	10792	196762
52	11269	201368
53	11311	198158
54	11413	196106
55	11489	193673
56	11595	191834
57	11728	190486
58	11958	190732
59	12082	189287
60	12145	186956
61	12216	184826
62	12281	182655
63	12356	180719
64	12649	181954
65	12780	180864
66	12853	178996
67	12937	177316
68	12974	175058
69	13028	173094
70	13095	171344
71	13149	169487
72	13300	168901
73	13438	168161
74	13673	168635
75	13722	166839
76	13790	165311
77	13867	163924
78	13935	162465
79	14020	161232
80	14080	159757
81	14148	158395
82	14327	158296
83	14555	158718
84	14781	159117
85	14946	158846
86	15116	158633
87	15157	157091
88	15366	157295
89	15463	156355
90	15583	155659
91	15661	154574
92	15759	153695
93	15838	152651
94	15905	151525
95	15969	150374
96	16072	149626
97	16147	148619
98	16220	147626
99	16288	146597
100	16341	145453
101	16407	144450
102	16610	144657
103	16783	144598
104	17016	145046
105	17242	145419
106	17497	146027
107	17766	146735
108	17932	146586
109	18129	146684
110	18360	147047
111	18585	147357
112	19003	149170
113	19160	148914
114	19281	148385
115	19404	147873
116	19502	147185
117	19589	146423
118	19688	145763
119	19766	144956
120	19881	144427
121	19963	143672
122	20066	143074
123	20230	142919
124	20338	142368
125	20440	141788
126	20554	141295
127	20758	141414
128	20915	141219
129	21133	141429
130	21340	141562
131	21522	141524
132	21634	141029
133	21778	140747
134	21932	140531
135	22065	140183
136	22175	139691
137	22269	139101
138	22369	138564
139	22506	138256
140	22617	137791
141	22708	137211
142	22796	136620
143	22903	136149
144	23077	136074
145	23182	135604
146	23259	134967
147	23363	134500
148	23467	134030
149	23567	133550
150	23734	133447
151	23905	133368
152	24060	133196
153	24165	132752
154	24247	132186
155	24376	131881
156	24515	131633
157	24609	131149
158	24690	130595
159	24772	130055
160	24863	129566
161	24929	128958
162	25008	128416
163	25094	127922
164	25202	127539
165	25329	127256
166	25525	127324
167	25712	127337
168	25803	126879
169	25892	126417
170	26035	126220
171	26155	125910
172	26253	125498
173	26347	125075
174	26429	124597
175	26514	124134
176	26590	123639
177	26668	123156
178	26764	122758
179	26922	122647
180	27099	122621
181	27230	122385
182	27334	122032
183	27480	121868
184	27621	121682
185	27727	121344
186	27825	120974
187	27993	120910
188	28153	120806
189	28273	120533
190	28404	120312
191	28560	120193
192	28688	119956
193	28789	119609
194	28875	119202
195	28982	118885
196	29116	118682
197	29266	118545
198	29468	118615
199	29665	118662
200	29786	118405
201	29938	118271
202	30117	118244
203	30246	118019
204	30360	117740
205	30464	117419
206	30555	117056
207	30672	116790
208	30811	116612
209	30938	116388
210	31084	116234
211	31217	116035
212	31354	115850
213	31499	115693
214	31626	115472
215	31766	115299
216	31875	115016
217	32005	114808
218	32120	114549
219	32223	114247
220	32362	114073
221	32560	114108
222	32710	113974
223	32881	113912
224	32958	113524
225	33037	113147
226	33123	112794
227	33194	112395
228	33254	111962
229	33319	111548
230	33386	111142
231	33522	110970
232	33593	110584
233	33658	110182
234	33719	109766
235	33775	109340
236	33834	108928
237	33896	108524
238	33956	108119
239	34017	107720
240	34079	107330
241	34139	106933
242	34207	106563
243	34273	106190
244	34398	106002
245	34468	105648
246	34533	105279
247	34592	104892
248	34648	104500
249	34705	104116
250	34762	103732
251	34829	103383
252	34911	103079
253	34990	102767
254	35083	102497
255	35251	102448
256	35328	102135
257	35417	101859
258	35500	101567
259	35577	101258
260	35635	100898
261	35700	100560
262	35765	100224
263	35862	99981
264	36009	99875
265	36124	99682
266	36215	99421
267	36315	99189
268	36413	98952
269	36509	98710
270	36606	98473
271	36698	98222
272	36785	97960
273	36883	97726
274	36936	97376
275	37015	97098
276	37098	96832
277	37188	96582
278	37283	96348
279	37377	96114
280	37471	95879
281	37567	95649
282	37667	95432
283	37765	95211
284	37861	94985
285	37967	94785
286	38067	94570
287	38166	94356
288	38287	94194
289	38385	93978
290	38476	93745
291	38575	93533
292	38687	93352
293	38783	93133
294	38882	92923
295	38978	92705
296	39066	92469
297	39157	92243
